H	Summary
H	SCFiller:false
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_CYT_050316_2016_05_03_09_33950/search/projects2016_05_09_15_84074/
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_NUC_050316_2016_05_03_09_33951/search/projects2016_05_09_16_84075/
SLine	dataset	intersection	intersection	unique	all_union
S	dataset	EXP19_CYT_050316(searched:2016-05-09)	EXP19_NUC_050316(searched:2016-05-09)
S	EXP19_CYT_050316(searched:2016-05-09)	6984	3077	3907	9068	
S	EXP19_NUC_050316(searched:2016-05-09)	3077	5161	2084	9068	


S	CumulativeProteinCounts	6984	9068	

PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status
P	P17096	0	4	0	4.926699E-4	0	0.8281002	0	4	0	26.2%	High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3 	1	0_1_	0_1_
P	P42684-6	1	0	7.2687994E-6	0	0.037528396	0	1	0	1.6%	0	Isoform 6 of Abelson tyrosine-protein kinase 2 OS=Homo sapiens GN=ABL2 	1	1_0_	1_0_
P	P42684-5	1	0	7.8212015E-6	0	0.03992021	0	1	0	1.7%	0	Isoform 5 of Abelson tyrosine-protein kinase 2 OS=Homo sapiens GN=ABL2 	1	1_0_	1_0_
P	P42684-4	1	0	8.083406E-6	0	0.03992021	0	1	0	1.7%	0	Isoform 4 of Abelson tyrosine-protein kinase 2 OS=Homo sapiens GN=ABL2 	1	1_0_	1_0_
P	P42684-3	1	0	7.2252365E-6	0	0.035142183	0	1	0	1.5%	0	Isoform 3 of Abelson tyrosine-protein kinase 2 OS=Homo sapiens GN=ABL2 	1	1_0_	1_0_
P	P42684-2	1	0	7.3575206E-6	0	0.037528396	0	1	0	1.6%	0	Isoform 2 of Abelson tyrosine-protein kinase 2 OS=Homo sapiens GN=ABL2 	1	1_0_	1_0_
P	tr|F8W651|F8W651_HUMAN	11	2	9.2191587E-4	2.2149445E-4	2.013006	0.55955243	13	2	47.9%	19.3%	Coatomer subunit zeta-1 OS=Homo sapiens GN=COPZ1 PE=2 SV=1 	2	1_1_	1_1_
P	tr|E9PHZ5|E9PHZ5_HUMAN	0	1	0	8.8449124E-5	0	0.3614447	0	1	0	13.4%	Cathepsin B heavy chain (Fragment) OS=Homo sapiens GN=CTSB PE=2 SV=1 	1	0_1_	0_1_
P	tr|E5RGA2|E5RGA2_HUMAN	0	1	0	7.488023E-5	0	0.1324004	0	2	0	5.4%	Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=2 SV=1 	1	0_1_	0_1_
P	Q9P2G1	1	0	7.749381E-6	0	0.037528396	0	1	0	1.6%	0	Ankyrin repeat and IBR domain-containing protein 1 OS=Homo sapiens GN=ANKIB1 PE=1 SV=3 	1	1_0_	1_0_
P	tr|I3L445|I3L445_HUMAN	0	1	0	4.3783784E-5	0	0.11429453	0	1	0	4.7%	Proline-, glutamic acid- and leucine-rich protein 1 (Fragment) OS=Homo sapiens GN=PELP1 PE=4 SV=1 	1	0_1_	0_1_
P	Q96CN4	2	0	3.1885676E-5	0	0.096478224	0	3	0	4.0%	0	EVI5-like protein OS=Homo sapiens GN=EVI5L PE=1 SV=1 	1	1_0_	1_0_
P	tr|F5GXX5|F5GXX5_HUMAN	1	0	9.928325E-5	0	0.38356638	0	1	0	14.1%	0	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens GN=DAD1 PE=2 SV=1 	1	1_0_	1_0_
P	Q96CN7	3	0	8.495714E-5	0	0.25025904	0	3	0	9.7%	0	Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3 	1	1_0_	1_0_
P	tr|K7EJ78|K7EJ78_HUMAN	0	11	0	0.0013281083	0	1.2335722	0	13	0	34.9%	40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=3 SV=2 	1	0_1_	0_1_
P	Q96D09	3	0	3.021149E-5	0	0.13762724	0	3	0	5.6%	0	G-protein coupled receptor-associated sorting protein 2 OS=Homo sapiens GN=GPRASP2 PE=1 SV=1 	1	1_0_	1_0_
P	tr|B4DP11|B4DP11_HUMAN	10	2	6.678406E-4	1.8962474E-4	0.2618276	0.2618276	11	2	10.1%	10.1%	Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=2 SV=1 	2	1_1_	1_1_
P	Q8NDT2-2	0	1	0	2.3408384E-5	0	0.071519256	0	1	0	3.0%	Isoform 2 of Putative RNA-binding protein 15B OS=Homo sapiens GN=RBM15B 	1	0_1_	0_1_
P	Q9P2I0	0	16	0	3.033511E-4	0	0.51356125	0	18	0	18.0%	Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens GN=CPSF2 PE=1 SV=2 	1	0_1_	0_1_
P	P17066	15	15	2.624907E-4	3.8942377E-4	0.1614486	0.1614486	20	19	6.5%	6.5%	Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2 	2	1_1_	1_1_
P	Q96CP6	3	0	3.4968547E-5	0	0.1694994	0	3	0	6.8%	0	GRAM domain-containing protein 1A OS=Homo sapiens GN=GRAMD1A PE=1 SV=2 	1	1_0_	1_0_
P	tr|E9PHY0|E9PHY0_HUMAN	5	0	1.6409316E-4	0	0.25025904	0	7	0	9.7%	0	Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2 PE=2 SV=1 	1	1_0_	1_0_
P	P17050	9	2	2.6692942E-4	6.4130996E-5	0.23026884	0.23026884	13	2	9.0%	9.0%	Alpha-N-acetylgalactosaminidase OS=Homo sapiens GN=NAGA PE=1 SV=2 	2	1_1_	1_1_
P	Q5VSL9	3	0	3.0247584E-5	0	0.08893013	0	3	0	3.7%	0	Striatin-interacting protein 1 OS=Homo sapiens GN=STRIP1 PE=1 SV=1 	1	1_0_	1_0_
P	Q9P2K3	0	2	0	7.987224E-5	0	0.06659615	0	3	0	2.8%	REST corepressor 3 OS=Homo sapiens GN=RCOR3 PE=1 SV=2 	1	0_1_	0_1_
P	Q9P2K5	4	44	7.032564E-5	0.0013618217	0.24451458	1.8840315	5	62	9.5%	46.0%	Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=3 	2	1_1_	1_1_
P	tr|F5GWN7|F5GWN7_HUMAN	19	12	2.7913152E-4	1.8889301E-4	0.3489629	0.19124198	30	13	13.0%	7.6%	Clathrin coat assembly protein AP180 OS=Homo sapiens GN=SNAP91 PE=2 SV=1 	2	1_1_	1_1_
P	tr|H0YCQ8|H0YCQ8_HUMAN	5	1	2.6730107E-4	5.9633123E-5	0.8113401	0.20503592	7	1	25.8%	8.1%	Eukaryotic translation initiation factor 3 subunit M (Fragment) OS=Homo sapiens GN=EIF3M PE=2 SV=1 	2	1_1_	1_1_
P	Q9BXA9-2	0	8	0	9.658818E-5	0	0.11429453	0	9	0	4.7%	Isoform 1 of Sal-like protein 3 OS=Homo sapiens GN=SALL3 	1	0_1_	0_1_
P	Q9BXA9-3	0	8	0	1.0831989E-4	0	0.12979591	0	9	0	5.3%	Isoform 2 of Sal-like protein 3 OS=Homo sapiens GN=SALL3 	1	0_1_	0_1_
P	Q9BXA9-4	0	8	0	1.0163691E-4	0	0.12201846	0	9	0	5.0%	Isoform 4 of Sal-like protein 3 OS=Homo sapiens GN=SALL3 	1	0_1_	0_1_
P	Q9P2J5	41	18	3.4445207E-4	2.3533787E-4	0.90985334	0.37404191	48	21	28.1%	13.8%	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2 	2	1_1_	1_1_
P	P98175-2	0	15	0	2.6953657E-4	0	0.7782794	0	19	0	25.0%	Isoform 2 of RNA-binding protein 10 OS=Homo sapiens GN=RBM10 	1	0_1_	0_1_
P	Q96HS1-2	1	0	3.3094417E-5	0	0.3335215	0	1	0	12.5%	0	Isoform 2 of Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens GN=PGAM5 	1	1_0_	1_0_
P	Q96CS3	8	0	1.8964216E-4	0	0.21059811	0	10	0	8.3%	0	FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2 	1	1_0_	1_0_
P	Q8NB78-2	0	3	0	6.701145E-5	0	0.11173177	0	3	0	4.6%	Isoform 2 of Lysine-specific histone demethylase 1B OS=Homo sapiens GN=KDM1B 	1	0_1_	0_1_
P	Q96CT7	0	4	0	2.3639319E-4	0	0.32129562	0	4	0	12.1%	Coiled-coil domain-containing protein 124 OS=Homo sapiens GN=CCDC124 PE=1 SV=1 	1	0_1_	0_1_
P	tr|B5MCD7|B5MCD7_HUMAN	1	0	4.9935363E-5	0	0.17760599	0	1	0	7.1%	0	Synaptogyrin-1 OS=Homo sapiens GN=SYNGR1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|H0YKB3|H0YKB3_HUMAN	3	0	2.8851544E-4	0	1.1527817	0	4	0	33.3%	0	Sorbitol dehydrogenase OS=Homo sapiens GN=SORD PE=2 SV=1 	1	1_0_	1_0_
P	O15212	13	1	9.812879E-4	1.02162165E-4	2.548134	0.23879659	15	1	55.0%	9.3%	Prefoldin subunit 6 OS=Homo sapiens GN=PFDN6 PE=1 SV=1 	2	1_1_	1_1_
P	Q13153-2	14	0	2.4416856E-4	0	0.36772883	0	16	0	13.6%	0	Isoform 2 of Serine/threonine-protein kinase PAK 1 OS=Homo sapiens GN=PAK1 	1	1_0_	1_0_
P	Q8ND56	0	8	0	3.7003445E-4	0	0.47231245	0	13	0	16.8%	Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A PE=1 SV=3 	1	0_1_	0_1_
P	O15228	2	0	2.4820813E-5	0	0.049542427	0	2	0	2.1%	0	Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens GN=GNPAT PE=1 SV=1 	1	1_0_	1_0_
P	tr|J3KN10|J3KN10_HUMAN	1	0	4.014784E-6	0	0.013911366	0	1	0	0.6%	0	Phosphatidylinositol 4-kinase alpha OS=Homo sapiens GN=PI4KA PE=2 SV=1 	1	1_0_	1_0_
P	tr|B4DRK2|B4DRK2_HUMAN	0	2	0	2.9682253E-5	0	0.12979591	0	2	0	5.3%	Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=2 SV=1 	1	0_1_	0_1_
P	O15230	0	2	0	7.13338E-6	0	0.009252906	0	2	0	0.4%	Laminin subunit alpha-5 OS=Homo sapiens GN=LAMA5 PE=1 SV=8 	1	0_1_	0_1_
P	O15231	0	1	0	1.9127605E-5	0	0.10917485	0	1	0	4.5%	Zinc finger protein 185 OS=Homo sapiens GN=ZNF185 PE=1 SV=3 	1	0_1_	0_1_
P	Q96B45	2	0	1.6074431E-4	0	0.4521116	0	2	0	16.2%	0	UPF0693 protein C10orf32 OS=Homo sapiens GN=C10orf32 PE=1 SV=1 	1	1_0_	1_0_
P	Q96B49	0	2	0	3.5618703E-4	0	0.54525447	0	2	0	18.9%	Mitochondrial import receptor subunit TOM6 homolog OS=Homo sapiens GN=TOMM6 PE=1 SV=1 	1	0_1_	0_1_
P	tr|B0QY02|B0QY02_HUMAN	0	2	0	1.7455523E-4	0	0.21898961	0	2	0	8.6%	Target of Myb protein 1 (Fragment) OS=Homo sapiens GN=TOM1 PE=2 SV=1 	1	0_1_	0_1_
P	P28288-2	5	2	9.223034E-5	4.8010636E-5	0.13762724	0.15345323	6	2	5.6%	6.2%	Isoform 2 of ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 	2	1_1_	1_1_
P	P51795-2	2	0	2.068401E-5	0	0.04712856	0	2	0	2.0%	0	Isoform 2 of H(+)/Cl(-) exchange transporter 5 OS=Homo sapiens GN=CLCN5 	1	1_0_	1_0_
P	Q14498-3	4	0	6.6449415E-5	0	0.13501084	0	4	0	5.5%	0	Isoform 3 of RNA-binding protein 39 OS=Homo sapiens GN=RBM39 	1	1_0_	1_0_
P	Q14498-2	4	16	6.442043E-5	5.030122E-4	0.12979591	0.73780084	4	20	5.3%	24.0%	Isoform 2 of RNA-binding protein 39 OS=Homo sapiens GN=RBM39 	2	1_1_	1_1_
P	tr|D6RGE2|D6RGE2_HUMAN	3	0	1.346661E-4	0	0.42560756	0	3	0	15.4%	0	Isochorismatase domain-containing protein 1 (Fragment) OS=Homo sapiens GN=ISOC1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|J3KQ12|J3KQ12_HUMAN	3	0	5.4562996E-5	0	0.2133888	0	3	0	8.4%	0	HCG2020143, isoform CRA_b OS=Homo sapiens GN=BSCL2 PE=2 SV=1 	1	1_0_	1_0_
P	tr|H7BYF2|H7BYF2_HUMAN	0	3	0	7.752306E-5	0	0.059253693	0	3	0	2.5%	Nucleoporin p58/p45 (Fragment) OS=Homo sapiens GN=NUPL1 PE=2 SV=1 	1	0_1_	0_1_
P	Q92997-2	2	0	2.414614E-5	0	0.04712856	0	2	0	2.0%	0	Isoform 2 of Segment polarity protein dishevelled homolog DVL-3 OS=Homo sapiens GN=DVL3 	1	1_0_	1_0_
P	tr|C9JIK8|C9JIK8_HUMAN	0	2	0	1.2035543E-4	0	0.22179961	0	2	0	8.7%	Cysteine protease ATG4B (Fragment) OS=Homo sapiens GN=ATG4B PE=2 SV=1 	1	0_1_	0_1_
P	Q96B26	0	1	0	4.774971E-5	0	0.17219532	0	1	0	6.9%	Exosome complex component RRP43 OS=Homo sapiens GN=EXOSC8 PE=1 SV=1 	1	0_1_	0_1_
P	Q01105-4	21	19	0.0011607651	0.0011268221	1.2181964	0.7298163	37	23	34.6%	23.8%	Isoform 4 of Protein SET OS=Homo sapiens GN=SET 	2	1_1_	1_1_
P	tr|U3KQG0|U3KQG0_HUMAN	2	0	2.6537975E-5	0	0.0519619	0	2	0	2.2%	0	Threonine--tRNA ligase, mitochondrial OS=Homo sapiens GN=TARS2 PE=4 SV=1 	1	1_0_	1_0_
P	Q01105-3	0	19	0	0.0011395307	0	0.74180686	0	23	0	24.1%	Isoform 3 of Protein SET OS=Homo sapiens GN=SET 	1	0_1_	0_1_
P	Q01105-2	23	19	0.0011838992	0.0010903422	1.4434304	0.6982436	39	23	38.8%	23.0%	Isoform 2 of Protein SET OS=Homo sapiens GN=SET 	2	1_1_	1_1_
P	Q96AX1	5	1	7.0797614E-5	2.2112281E-5	0.54881656	0.06414306	5	1	19.0%	2.7%	Vacuolar protein sorting-associated protein 33A OS=Homo sapiens GN=VPS33A PE=1 SV=1 	2	1_1_	1_1_
P	Q14161-5	1	1	1.1576236E-5	1.8078079E-5	0.059253693	0.059253693	1	1	2.5%	2.5%	Isoform 5 of ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 	2	1_1_	1_1_
P	Q14161-6	1	1	1.2767135E-5	1.993785E-5	0.06414306	0.06414306	1	1	2.7%	2.7%	Isoform 6 of ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 	2	1_1_	1_1_
P	Q14161-7	1	1	1.3063585E-5	2.0400805E-5	0.06659615	0.06659615	1	1	2.8%	2.8%	Isoform 7 of ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 	2	1_1_	1_1_
P	Q14161-8	1	1	1.21600515E-5	1.8989796E-5	0.061695576	0.061695576	1	1	2.6%	2.6%	Isoform 8 of ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 	2	1_1_	1_1_
P	O15260	2	1	6.274406E-5	4.8992268E-5	0.16680968	0.16680968	2	1	6.7%	6.7%	Surfeit locus protein 4 OS=Homo sapiens GN=SURF4 PE=1 SV=3 	2	1_1_	1_1_
P	P53779-2	3	0	5.9993432E-5	0	0.22461617	0	3	0	8.8%	0	Isoform Alpha-1 of Mitogen-activated protein kinase 10 OS=Homo sapiens GN=MAPK10 	1	1_0_	1_0_
P	P53779-3	3	0	5.9430113E-5	0	0.22179961	0	3	0	8.7%	0	Isoform 3 of Mitogen-activated protein kinase 10 OS=Homo sapiens GN=MAPK10 	1	1_0_	1_0_
P	O15269	2	0	3.5683195E-5	0	0.071519256	0	2	0	3.0%	0	Serine palmitoyltransferase 1 OS=Homo sapiens GN=SPTLC1 PE=1 SV=1 	1	1_0_	1_0_
P	Q14161-4	1	1	1.1902787E-5	1.858804E-5	0.059253693	0.059253693	1	1	2.5%	2.5%	Isoform 4 of ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 	2	1_1_	1_1_
P	Q14161-3	1	1	1.1342844E-5	1.7713603E-5	0.05681753	0.05681753	1	1	2.4%	2.4%	Isoform 3 of ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 	2	1_1_	1_1_
P	tr|E7EX01|E7EX01_HUMAN	3	3	9.3594186E-5	9.744118E-5	0.1694994	0.1694994	6	4	6.8%	6.8%	MAGUK p55 subfamily member 2 OS=Homo sapiens GN=MPP2 PE=2 SV=1 	2	1_1_	1_1_
P	Q14161-2	1	1	1.791736E-5	2.7980723E-5	0.09144032	0.09144032	1	1	3.8%	3.8%	Isoform 2 of ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 	2	1_1_	1_1_
P	tr|W4VSQ8|W4VSQ8_HUMAN	0	1	0	6.8640205E-5	0	0.24165225	0	1	0	9.4%	Nudix (Nucleoside diphosphate linked moiety X)-type motif 16-like 1, isoform CRA_b OS=Homo sapiens GN=NUDT16L1 PE=4 SV=1 	1	0_1_	0_1_
P	Q8ND90	2	0	4.781346E-5	0	0.101539254	0	2	0	4.2%	0	Paraneoplastic antigen Ma1 OS=Homo sapiens GN=PNMA1 PE=1 SV=2 	1	1_0_	1_0_
P	O15270	6	0	1.3514535E-4	0	0.17219532	0	9	0	6.9%	0	Serine palmitoyltransferase 2 OS=Homo sapiens GN=SPTLC2 PE=1 SV=1 	1	1_0_	1_0_
P	tr|B0UXB6|B0UXB6_HUMAN	2	0	2.8083447E-5	0	0.08893013	0	2	0	3.7%	0	Abhydrolase domain-containing protein 16A OS=Homo sapiens GN=ABHD16A PE=4 SV=1 	1	1_0_	1_0_
P	tr|C9K0H9|C9K0H9_HUMAN	2	0	1.7766477E-4	0	0.92309177	0	2	0	28.4%	0	EH domain-binding protein 1 (Fragment) OS=Homo sapiens GN=EHBP1 PE=2 SV=1 	1	1_0_	1_0_
P	O15239	2	0	2.4111646E-4	0	0.53461695	0	2	0	18.6%	0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 OS=Homo sapiens GN=NDUFA1 PE=1 SV=1 	1	1_0_	1_0_
P	tr|D6RC52|D6RC52_HUMAN	0	9	0	0.0013977642	0	0.4190575	0	14	0	15.2%	H/ACA ribonucleoprotein complex subunit 2 (Fragment) OS=Homo sapiens GN=NHP2 PE=2 SV=1 	1	0_1_	0_1_
P	Q8NCW5	2	0	5.8604695E-5	0	0.101539254	0	2	0	4.2%	0	NAD(P)H-hydrate epimerase OS=Homo sapiens GN=APOA1BP PE=1 SV=2 	1	1_0_	1_0_
P	Q6NXE6-2	4	0	7.091661E-5	0	0.26765192	0	4	0	10.3%	0	Isoform 2 of Armadillo repeat-containing protein 6 OS=Homo sapiens GN=ARMC6 	1	1_0_	1_0_
P	O15240	87	41	0.0019897008	0.001264319	3.7863011	2.1332858	145	59	68.0%	49.6%	Neurosecretory protein VGF OS=Homo sapiens GN=VGF PE=1 SV=2 	2	1_1_	1_1_
P	Q5VUB5	0	1	0	1.4807775E-5	0	0.023293018	0	1	0	1.0%	Protein FAM171A1 OS=Homo sapiens GN=FAM171A1 PE=1 SV=1 	1	0_1_	0_1_
P	Q9C0J8-3	0	1	0	1.0255969E-4	0	0.29717934	0	2	0	11.3%	Isoform 3 of pre-mRNA 3' end processing protein WDR33 OS=Homo sapiens GN=WDR33 	1	0_1_	0_1_
P	Q9C0J8-2	0	1	0	8.085227E-5	0	0.22743917	0	2	0	8.9%	Isoform 2 of pre-mRNA 3' end processing protein WDR33 OS=Homo sapiens GN=WDR33 	1	0_1_	0_1_
P	tr|E9PGC0|E9PGC0_HUMAN	1	0	1.915795E-5	0	0.071519256	0	2	0	3.0%	0	Ras GTPase-activating protein 1 OS=Homo sapiens GN=RASA1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|H0Y7L2|H0Y7L2_HUMAN	6	2	3.8859904E-5	2.022858E-5	0.059253693	0.059253693	6	2	2.5%	2.5%	Dedicator of cytokinesis protein 7 (Fragment) OS=Homo sapiens GN=DOCK7 PE=4 SV=1 	2	1_1_	1_1_
P	P19174-2	7	0	4.5757966E-5	0	0.14024973	0	7	0	5.7%	0	Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Homo sapiens GN=PLCG1 	1	1_0_	1_0_
P	tr|C9K082|C9K082_HUMAN	0	1	0	5.2505657E-5	0	0.30617094	0	1	0	11.6%	Nuclear pore complex-interacting protein family member B3 (Fragment) OS=Homo sapiens GN=NPIPB3 PE=2 SV=2 	1	0_1_	0_1_
P	tr|F8WE88|F8WE88_HUMAN	30	19	1.6404252E-4	1.4232095E-4	0.3614447	0.27938128	36	20	13.4%	10.7%	Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=2 SV=1 	2	1_1_	1_1_
P	tr|H0YD93|H0YD93_HUMAN	4	0	5.4445652E-5	0	0.11429453	0	4	0	4.7%	0	RUN and FYVE domain-containing protein 2 (Fragment) OS=Homo sapiens GN=RUFY2 PE=4 SV=1 	1	1_0_	1_0_
P	tr|C9J712|C9J712_HUMAN	0	5	0	7.2411646E-4	0	1.084491	0	5	0	31.9%	Profilin-2 OS=Homo sapiens GN=PFN2 PE=2 SV=1 	1	0_1_	0_1_
P	tr|E9PL69|E9PL69_HUMAN	1	0	2.9610794E-5	0	0.07894671	0	2	0	3.3%	0	Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|Q5SZE2|Q5SZE2_HUMAN	4	0	3.2709597E-4	0	0.2618276	0	5	0	10.1%	0	Ceramide synthase 2 (Fragment) OS=Homo sapiens GN=CERS2 PE=2 SV=1 	1	1_0_	1_0_
P	O15294	0	1	0	1.2599349E-5	0	0.04712856	0	1	0	2.0%	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens GN=OGT PE=1 SV=3 	1	0_1_	0_1_
P	Q15276-2	2	0	2.0359654E-5	0	0.06414306	0	2	0	2.7%	0	Isoform 2 of Rab GTPase-binding effector protein 1 OS=Homo sapiens GN=RABEP1 	1	1_0_	1_0_
P	Q5VTL8-2	0	1	0	6.936274E-5	0	0.25892544	0	1	0	10.0%	Isoform 2 of Pre-mRNA-splicing factor 38B OS=Homo sapiens GN=PRPF38B 	1	0_1_	0_1_
P	Q96AY3	1	0	1.4500131E-5	0	0.061695576	0	1	0	2.6%	0	Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10 PE=1 SV=1 	1	1_0_	1_0_
P	tr|H3BUX2|H3BUX2_HUMAN	11	5	7.836285E-4	5.648109E-4	1.1677041	1.1677041	13	6	33.6%	33.6%	Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=2 SV=1 	2	1_1_	1_1_
P	tr|E7EWU3|E7EWU3_HUMAN	2	0	3.8889753E-5	0	0.06659615	0	3	0	2.8%	0	Acetyl-coenzyme A synthetase, cytoplasmic OS=Homo sapiens GN=ACSS2 PE=2 SV=1 	1	1_0_	1_0_
P	Q8ND24	3	1	3.6013127E-5	1.8746685E-5	0.061695576	0.061695576	3	1	2.6%	2.6%	RING finger protein 214 OS=Homo sapiens GN=RNF214 PE=1 SV=2 	2	1_1_	1_1_
P	tr|H7BZC1|H7BZC1_HUMAN	2	0	2.4579832E-4	0	0.30918193	0	3	0	11.7%	0	Hippocalcin-like protein 1 (Fragment) OS=Homo sapiens GN=HPCAL1 PE=4 SV=1 	1	1_0_	1_0_
P	Q8ND04	1	0	8.515717E-6	0	0.06659615	0	1	0	2.8%	0	Protein SMG8 OS=Homo sapiens GN=SMG8 PE=1 SV=1 	1	1_0_	1_0_
P	Q99873-2	5	7	1.2160052E-4	3.0383674E-4	0.18032062	0.58124804	5	8	7.2%	19.9%	Isoform 2 of Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 	2	1_1_	1_1_
P	Q99873-3	5	7	1.230186E-4	3.0738008E-4	0.18304157	0.58854675	5	8	7.3%	20.1%	Isoform 3 of Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 	2	1_1_	1_1_
P	Q99873-4	5	7	1.1953366E-4	2.9867238E-4	0.17760599	0.566751	5	8	7.1%	19.5%	Isoform 4 of Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 	2	1_1_	1_1_
P	tr|F5GX84|F5GX84_HUMAN	4	0	1.366652E-4	0	0.81551564	0	4	0	25.9%	0	LIM and cysteine-rich domains protein 1 OS=Homo sapiens GN=LMCD1 PE=2 SV=1 	1	1_0_	1_0_
P	P10909	8	3	1.879527E-4	1.1740686E-4	0.3335215	0.09144032	10	4	12.5%	3.8%	Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1 	2	1_1_	1_1_
P	tr|B3KP81|B3KP81_HUMAN	1	0	3.3094417E-5	0	0.20781386	0	1	0	8.2%	0	Homeobox protein Meis2 OS=Homo sapiens GN=MEIS2 PE=2 SV=1 	1	1_0_	1_0_
P	P29218-3	2	1	7.53489E-5	3.9222978E-5	0.19398808	0.19398808	3	1	7.7%	7.7%	Isoform 3 of Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1 	2	1_1_	1_1_
P	Q8WYA6-3	2	0	5.4270586E-5	0	0.11686325	0	2	0	4.8%	0	Isoform 3 of Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 	1	1_0_	1_0_
P	P56945	1	0	9.7000875E-6	0	0.04231739	0	1	0	1.8%	0	Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens GN=BCAR1 PE=1 SV=2 	1	1_0_	1_0_
P	Q8WYA6-2	2	0	4.48887E-5	0	0.096478224	0	2	0	4.0%	0	Isoform 2 of Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 	1	1_0_	1_0_
P	P29218-2	2	1	1.278648E-4	6.65602E-5	0.3520726	0.3520726	3	1	13.1%	13.1%	Isoform 2 of Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1 	2	1_1_	1_1_
P	P56937	2	0	4.9496048E-5	0	0.083926916	0	2	0	3.5%	0	3-keto-steroid reductase OS=Homo sapiens GN=HSD17B7 PE=1 SV=1 	1	1_0_	1_0_
P	Q8N0W4-2	3	0	4.0378352E-5	0	0.09395635	0	4	0	3.9%	0	Isoform 2 of Neuroligin-4, X-linked OS=Homo sapiens GN=NLGN4X 	1	1_0_	1_0_
P	tr|M0R0U3|M0R0U3_HUMAN	0	2	0	1.472505E-4	0	0.22743917	0	2	0	8.9%	6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=2 SV=1 	1	0_1_	0_1_
